```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum"," "," ","1"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","I. Weltwirtschaft: Verhaltene Erholung im Schlepptau der Vereinigten Staaten"," ","1"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","II. Zaghafte Erholung in Deutschland – Ausblick durchwachsen"," ","4"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","II. Zaghafte Erholung in Deutschland – Ausblick durchwachsen","Keine Konjunkturbeschleunigung in diesem Jahr","4"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","II. Zaghafte Erholung in Deutschland – Ausblick durchwachsen","Prognose für das Jahr 2003: Erholung mit angezogener Handbremse","8"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum"," ","9"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum","Arbeitslosigkeit bedrückendstes Problem der Wirtschaftspolitik","10"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum","Gesundheitspolitik: Pragmatische Schritte und konzeptionelle Perspektiven","14"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum","Finanzpolitik in schweren Zeiten","16"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum","Neue Bundesländer: Schubkräfte für den Aufholprozess mobilisieren","19"
"Erstes Kapitel: Zwanzig Punkte für Beschäftigung und Wachstum","III. Ein Programm für Beschäftigung und Wachstum","Europäische Geldpolitik und internationale Finanzmärkte: Auf Stabilität setzen","19"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002"," "," ","21"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","I. Weltwirtschaft: Verhaltene Belebung im Schlepptau der Vereinigten Staaten"," ","21"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","I. Weltwirtschaft: Verhaltene Belebung im Schlepptau der Vereinigten Staaten","Vereinigte Staaten: Unsicherheit hemmt Aufschwung","22"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","I. Weltwirtschaft: Verhaltene Belebung im Schlepptau der Vereinigten Staaten","Japan: Anhaltende konjunkturelle Schwäche und strukturelle Probleme","29"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","I. Weltwirtschaft: Verhaltene Belebung im Schlepptau der Vereinigten Staaten","Schwellenländer: Heterogene Entwicklungen","32"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild"," ","40"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","1. Gesamtwirtschaftliche Entwicklung ohne Schwung","40"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","2. Der monetäre Rahmen im Euro-Raum","55"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","Exkurs: Empirische Untersuchung zum Informationsgehalt der Geldmenge","68"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","3. Wettbewerbspolitische Schritte","74"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","4. EU-Osterweiterung und institutionelle Entwicklungen","76"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","Beitrittsverhandlungen vor dem Abschluss","76"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","Gemeinsame Agrarpolitik im Lichte der Erweiterung","79"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","II. Europäische Union: Unsicherheiten prägen das Bild","Institutionelle Entwicklungen","81"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung"," ","81"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung","1. Binnenwirtschaft weiterhin kraftlos","82"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung","Entstehungsseite: Industrie schwach, Dienstleistungen robust","83"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung","Außenwirtschaft: Leistungsbilanz bleibt positiv","92"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung","Konsum: Arbeitslosigkeit konterkariert Erholung der Konsumentenstimmung","96"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahre 2002","III. Deutschland: Labile Erholung","Ausgeprägte Investitionsschwäche hemmt Erholungsprozess","98"
