"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Inhalt"," "," "," "
"Eine kürzere Fassung"," "," ","1"
"Erstes Kapitel: Die Weltwirtschaft im Zeichen der Ölkrise"," "," ","15"
"Erstes Kapitel: Die Weltwirtschaft im Zeichen der Ölkrise","I. Zweistellige Inflationsraten"," ","16"
"Erstes Kapitel: Die Weltwirtschaft im Zeichen der Ölkrise","II. Zunehmende außenwirtschaftliche Ungleichgewichte"," ","17"
"Erstes Kapitel: Die Weltwirtschaft im Zeichen der Ölkrise","III. Vertagte Weltwährungsreform"," ","21"
"Zweites Kapitel: Die Konjunkturlage"," "," ","28"
"Zweites Kapitel: Die Konjunkturlage","Teil A: Die Konjunktur in der Europäischen Gemeinschaft"," ","28"
"Zweites Kapitel: Die Konjunkturlage","I. Erdölkrise verschärft die Probleme der Gemeinschaft"," ","28"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur"," ","30"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Weltweit unsicherer Konjunkturverlauf","30"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Die Gemeinschaft im Abschwung","31"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Regionale Differenzierung","34"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Gelockerter Konjunkturverbund?","35"
"Zweites Kapitel: Die Konjunkturlage","III. Wirtschaftspolitik unkoordiniert"," ","37"
"Zweites Kapitel: Die Konjunkturlage","III. Wirtschaftspolitik unkoordiniert","Anziehen der monetären Zügel","37"
"Zweites Kapitel: Die Konjunkturlage","III. Wirtschaftspolitik unkoordiniert","Zwiespältige Finanzpolitik","41"
"Zweites Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1974"," ","45"
"Zweites Kapitel: Die Konjunkturlage","I. Überblick"," ","45"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur"," ","47"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Investoren und Verbraucher überwiegend zurückhaltend","48"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Hohe Auslandsaufträge","52"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Gedrosselte Produktion","53"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Mäßiger Zuwachs der Importe","54"
"Zweites Kapitel: Die Konjunkturlage","II. Gedämpfte Konjunktur","Abnehmender Arbeitskräftebedarf nicht nur konjunkturell bedingt","55"
"Zweites Kapitel: Die Konjunkturlage","III. Hohe inflatorische Spannungen"," ","58"
"Zweites Kapitel: Die Konjunkturlage","III. Hohe inflatorische Spannungen","Preisschub auf Industriemärkten","59"
"Zweites Kapitel: Die Konjunkturlage","III. Hohe inflatorische Spannungen","Anstieg der Verbraucherpreise gedämpft","61"
"Zweites Kapitel: Die Konjunkturlage","IV. Einkommensentwicklung: Fehler und Irrtümer"," ","63"
"Zweites Kapitel: Die Konjunkturlage","V. Unerwünschte Leistungsbilanzsalden"," ","72"
"Zweites Kapitel: Die Konjunkturlage","V. Unerwünschte Leistungsbilanzsalden","Überraschendes Anschwellen des Außenbeitrages","72"
