"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die wirtschaftliche Lage"," "," ","21"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen"," ","21"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die Weltwirtschaft: Kooperation ist dringlicher geworden"," ","21"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die Weltwirtschaft: Kooperation ist dringlicher geworden","Mühsame Korrektur der Leistungsbilanzungleichgewichte","21"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die Weltwirtschaft: Kooperation ist dringlicher geworden","Welthandelsordnung: Vor notwendigen Entscheidungen","24"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die Weltwirtschaft: Kooperation ist dringlicher geworden","Verschuldungskrise: Bisherige Lösungsversuche unzureichend","26"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern"," ","29"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern","Aktienbaisse und Weltkonjunktur 1987","29"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern","Vereinigte Staaten: Anhaltender Aufschwung bei starkem Exportwachstum","32"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern","Kräftige Binnenkonjunktur in Japan","36"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern","Gedämpftes Wachstum in Europa","37"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Konjunkturelles Gefälle zwischen den Industrieländern","Die Entwicklung in einzelnen Ländern Europas","39"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Die Europäische Gemeinschaft vor schwierigen Reformen"," ","41"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die wirtschaftliche Entwicklung in der Bundesrepublik"," ","54"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Überblick"," ","54"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Im Zeichen veränderter Wechselkurse"," ","56"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Im Zeichen veränderter Wechselkurse","Ausfuhr zieht wieder an","56"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Im Zeichen veränderter Wechselkurse","Lebhafte Verbrauchsnachfrage bei nahezu stabilen Preisen","60"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Im Zeichen veränderter Wechselkurse","Verhaltene Zunahme der staatlichen Güterkäufe","61"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Im Zeichen veränderter Wechselkurse","Modernisierung steht im Mittelpunkt","62"
