"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen"," "," ","1"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","I. Die wirtschaftliche Entwicklung in den Jahren 2006 und 2007"," ","2"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","II. Stückwerk statt Konzept"," ","9"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","II. Stückwerk statt Konzept","1. Soziale Sicherung: Licht und Schatten","10"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","II. Stückwerk statt Konzept","2. Finanzpolitik: Durchwachsene Bilanz","15"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","II. Stückwerk statt Konzept","3. Arbeitsmarkt: Handlungsbedarf trotz Wende zum Besseren","24"
"ERSTES KAPITEL\nWiderstreitende Interessen − Ungenutzte Chancen","III. Schlussbemerkung"," ","29"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland"," "," ","31"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen"," ","32"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","1. Im Jahresverlauf nachlassende Dynamik in den Vereinigten Staaten","37"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","2. Japan am Ende der Deflation?","40"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","3. Chinas Wirtschaft wächst weiter mit hohem Tempo","42"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","4. Schwellenländer im Aufwärtssog der Weltkonjunktur","43"
"ZWEITES KAPITEL\nDie wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","5. Euro-Raum: Konjunkturelle Belebung auf breiter Front","45"
