"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse"," "," ","6"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","I. Wirtschaftspolitik von der Realität eingeholt"," ","7"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen"," ","12"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen","1. Keine Investitionslücke, aber Handlungsbedarf","12"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen","2. Arbeitsmarkt: Neue Hürden für Beschäftigung","18"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen","3. Sozialpolitik: Verfehlte Reformen","19"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen"," Die Rolle rückwärts in der Rentenpolitik","19"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen"," Gesundheitspolitik: Vermischung von Effizienz und Verteilung","20"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen"," Die Pflegestärkungsgesetze","21"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen","4. Energiepolitik: Niedrige Erwartungen bestätigt","23"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","II. Deutschland: Wachstumspotenziale freisetzen","5. Innovationen: Entdeckungsprozesse ermöglichen","27"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","III. Finanzpolitik: Reformbedarf steigt"," ","28"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","III. Finanzpolitik: Reformbedarf steigt","1. Staatshaushalt weiter mit Rückenwind","29"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","III. Finanzpolitik: Reformbedarf steigt","2. Reformoptionen für den Solidaritätszuschlag","32"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","III. Finanzpolitik: Reformbedarf steigt","3. Neuordnung der Bund-Länder-Finanzbeziehungen","35"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","IV. Europa: Zeit für Subsidiarität"," ","37"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","IV. Europa: Zeit für Subsidiarität","1. Unverändertes Leitbild: Maastricht 2.0","37"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","IV. Europa: Zeit für Subsidiarität"," Chancen eines Transatlantischen Freihandelsabkommens","39"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","IV. Europa: Zeit für Subsidiarität","2. Expansive Geldpolitik, nationale Wirtschaftspolitik","41"
"Erstes Kapitel\nWirtschaftspolitik: Mehr Vertrauen in Marktprozesse","IV. Europa: Zeit für Subsidiarität","3. Bankenunion und Finanzstabilität","42"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss"," "," ","50"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben"," ","52"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben","1. Konjunkturelle Lage","52"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben"," Euro-Raum fällt hinter übrige Industrieländer zurück","52"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben"," Schlechtere Finanzierungsbedingungen belasten Schwellenländer","56"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben","2. Ausblick","58"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","I. Weltwirtschaft: Hinter den Erwartungen zurückgeblieben"," Chancen und Risiken","60"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","II. Konjunktur außerhalb des Euro-Raums"," ","61"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","II. Konjunktur außerhalb des Euro-Raums","1. Vereinigte Staaten: Unterauslastung am Arbeitsmarkt geht zurück","61"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","II. Konjunktur außerhalb des Euro-Raums","2. China: Baukonjunktur belastet Wachstum","64"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","II. Konjunktur außerhalb des Euro-Raums","3. Japan: Aufschwung nicht selbsttragend","67"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","II. Konjunktur außerhalb des Euro-Raums","4. Vereinigtes Königreich: Binnenwirtschaft stützt Aufschwung","68"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","III. Euro-Raum: Im Griff der Reformunwilligen"," ","70"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","III. Euro-Raum: Im Griff der Reformunwilligen","1. Konjunkturelle Lage","70"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","III. Euro-Raum: Im Griff der Reformunwilligen","2. Analyse der großen Volkswirtschaften","72"
"Zweites Kapitel\nInternationale Konjunktur: Euro-Raum verliert\nden Anschluss","III. Euro-Raum: Im Griff der Reformunwilligen"," Staatliche und private Verschuldung","74"
