```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie Primär","Kategorie Region"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen"," "," ","1","NA","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","I.       Die wirtschaftliche Entwicklung in den Jahren 2006 und 2007"," ","2","Kurze Frist / Konjunkturanalyse","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","II.      Stückwerk statt Konzept"," ","9","NA","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","II.      Stückwerk statt Konzept","1. Soziale Sicherung: Licht und Schatten","10","Soziale Sicherung","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","II.      Stückwerk statt Konzept","2. Finanzpolitik: Durchwachsene Bilanz","15","Finanzpolitik und Föderalismus","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","II.      Stückwerk statt Konzept","3. Arbeitsmarkt: Handlungsbedarf trotz Wende zum Besseren","24","Arbeitsmarktpolitik","Deutschland"
"ERSTES KAPITEL Widerstreitende Interessen − Ungenutzte Chancen","III. Schlussbemerkung"," ","29","NA","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland"," "," ","31","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen"," ","32","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","1. Im Jahresverlauf nachlassende Dynamik in den Vereinigten Staaten","37","Kurze Frist / Konjunkturanalyse","Nordamerika"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","2. Japan am Ende der Deflation?","40","Kurze Frist / Konjunkturanalyse","Asien,Australien"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","3. Chinas Wirtschaft wächst weiter mit hohem Tempo","42","Kurze Frist / Konjunkturanalyse","Asien,Australien"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","4. Schwellenländer im Aufwärtssog der Weltkonjunktur","43","Kurze Frist / Konjunkturanalyse","Süd-,Zentralamerika"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","5. Euro-Raum: Konjunkturelle Belebung auf breiter Front","45","Kurze Frist / Konjunkturanalyse","Europa"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","I.       Weltwirtschaft: Kräftige Expansion ungeachtet höherer Ölpreise und Zinsen","6. Deutlicher Zuwachs des Bruttoinlandsprodukts in den übrigen Staaten der Europäischen Union","48","Kurze Frist / Konjunkturanalyse","Europa"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten"," ","50","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","1. Konjunktur deutlich über Potentialwachstum","51","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","2. Sondereffekte überzeichnen Anstieg der Konsumausgaben","56","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","3. Investitionen im Aufwind","64","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","Aufschwung der Ausrüstungsinvestitionen hält an","64","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","Bauinvestitionen: Talsohle durchschritten","70","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","4. Außenwirtschaft: Unverändert Stütze der konjunkturellen Entwicklung","71","Außenhandel","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","5. Preisniveauentwicklung: Unter dem Einfluss steigender Ölpreise","73","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","Exkurs: Auswirkungen des Ölpreisanstiegs auf Inflation und Konjunktur","77","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","Einfluss des Ölpreisanstiegs auf die deutschen Verbraucherpreise","79","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","II.      Deutschland: Konjunktureller Aufschwung unter Einfluss von Sondereffekten","Aktualisierte Schätzungen zu Ölpreiswirkungen","82","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2007"," ","86","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2007","1. Leichte Abkühlung der Weltkonjunktur auf hohem Niveau","86","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2007","2. Deutschland: Robuster Zuwachs trotz Anhebung der Umsatzsteuer","91","Kurze Frist / Konjunkturanalyse","Deutschland"
"ZWEITES KAPITEL Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2007","Öffentliche Finanzen: Weitere Entspannung vor allem durch Steuerer-\nhöhungen","103","Öffentliche Finanzen","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab"," "," ","108","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","I.       Historisch hohe globale Ungleichgewichte: Ein Anlass für erhöhte Wachsamkeit"," ","110","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","II.      Der Befund: Gravierende Strom- und Bestandsprobleme in der Weltwirtschaft"," ","112","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","II.      Der Befund: Gravierende Strom- und Bestandsprobleme in der Weltwirtschaft","1. Zunehmende und ungewöhnlich hohe Leistungsbilanzungleichgewichte","112","Außenhandel","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","II.      Der Befund: Gravierende Strom- und Bestandsprobleme in der Weltwirtschaft","2. Stark zunehmende Währungsreserven insbesondere der Schwellenländer","118","Geld- und Währungspolitik","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte"," ","120","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","1. Das Leistungsbilanzdefizit der Vereinigten Staaten als globales Konjunktur-\nprogramm","122","Außenhandel","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Das US-Leistungsbilanzdefizit aus der Sicht der Finanzierungsrechnung","122","Außenhandel","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Das US-Leistungsbilanzdefizit aus der Sicht des Außenhandels","125","Außenhandel","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Ein alternativer Erklärungsansatz","128","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","2. Die Wechselkurspolitik in Asien als zusätzlicher Verstärker der globalen\nDynamik","129","Geld- und Währungspolitik","Asien,Australien"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Außenhandelsorientierte Wechselkurspolitik","130","Außenhandel","Asien,Australien"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Stark gestiegener Leistungsbilanzüberschuss in China","133","Außenhandel","Asien,Australien"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","3. Der Ölpreis als endogener Verstärker der globalen Ungleichgewichte","136","Kurze Frist / Konjunkturanalyse","Deutschland"
