```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken"," "," ","1","NA"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I.       Die deutsche Wirtschaft im Sog der Finanzkrise"," ","1","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I.       Die deutsche Wirtschaft im Sog der Finanzkrise","Systemische Bankenkrise konnte gestoppt werden","1","Finanzmärkte und Finanzstabilität "
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I.       Die deutsche Wirtschaft im Sog der Finanzkrise","Erhebliche realwirtschaftliche Folgen, aber keine extremen Entwicklungen zu erwarten","1","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I.       Die deutsche Wirtschaft im Sog der Finanzkrise","Verantwortlichkeiten für die Finanzkrise","3","Finanzmärkte und Finanzstabilität "
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","II.      Stabilisierung der Finanzmärkte"," ","4","Finanzmärkte und Finanzstabilität "
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","III. Die deutsche Konjunktur im Abschwung"," ","7","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist"," ","9","Wirtschaftspolitik"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","1. Konjunkturgerechte Wachstumspolitik für Deutschland","9","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","2. Rahmenbedingungen für Wachstum und Beschäftigung verbessern","10","Rahmenbedingungen"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Finanzpolitik: Verzerrungen abbauen","11","Öffentliche Finanzen"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Arbeitsmarktpolitik: Sockelarbeitslosigkeit weiter senken","12","Arbeitsmarktpolitik"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Nachhaltige Sozialpolitik","13","Soziale Sicherung"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","17","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld"," ","19","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","1. Bestimmungsfaktoren der weltwirtschaftlichen Entwicklung","21","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Realwirtschaftliche Folgen der Finanzkrise","25","Finanzmärkte und Finanzstabilität "
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Platzende Immobilienpreisblasen","30","Finanzmärkte und Finanzstabilität "
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Ausmaß der Überbewertung am Immobilienmarkt","32","Finanzmärkte und Finanzstabilität "
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Ausmaß direkter Nachfrageeffekte","33","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Ausmaß indirekter Effekte auf die Nachfrage","36","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Wachstumseinbußen infolge von Immobilienkrisen","38","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Entwicklung der Rohstoffpreise","40","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Ursachen für die Rohstoffpreisanstiege der letzten Jahre","41","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Fundamentale Faktoren","42","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Spekulative Faktoren","45","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Der Rückgang des Ölpreises seit Jahresmitte","50","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Die Weltwirtschaft im Jahr 2009","51","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","2. Vereinigte Staaten: Expansive Wirtschaftspolitik im Zeichen der Finanzkrise","53","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Konjunkturentwicklung im Jahr 2008","53","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009: Anhaltender Abschwung","56","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","3. Japan: Globale Konjunkturschwäche belastet japanische Exporte","58","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Konjunkturentwicklung im Jahr 2008","58","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","60","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","4. Schwellenländer: Keine Entkopplung","60","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","China: Verhaltene konjunkturelle Entwicklung im Jahr 2008","62","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","64","Kurze Frist / Konjunkturanalyse"
