```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung"," "," ","1","NA"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt"," ","8","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","8","Kurze Frist / Konjunkturanalyse"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","II. Europäische Währungsunion in der Krise","11","Europäische Union"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","III. Reform der Finanzmarktarchitektur","14","Finanzmärkte und Finanzstabilität "
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","IV. Öffentliche Finanzen: In der Realität angekommen","16","Öffentliche Finanzen"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","V. Soziale Sicherungssysteme im Reformprozess","18","Soziale Sicherung"
"ERSTES KAPITEL Chancen für einen stabilen Aufschwung","I. Die Ausgangslage: Starke wirtschaftliche Erholung verliert an Fahrt","VI. Arbeitsmarkt im Zeichen institutioneller Veränderungen","19","Arbeitsmarktpolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","23","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten"," ","25","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Eine divergente Entwicklung der Weltwirtschaft","26","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Die Schwellenländer als Stütze der Weltwirtschaft","27","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Schleppende Erholung der Industrieländer","29","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Ursachen und Folgen eines „Währungskriegs“","31","Geld- und Währungspolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Die Aussichten für die weitere Konjunkturentwicklung","34","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Vereinigte Staaten – Probleme am Arbeitsmarkt bremsen die Konjunktur","34","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Japan – Starker Yen trotz hoher Verschuldung","37","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","China und die anderen Schwellenländer – Kraftvoll durch die Krise","38","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Ein Aufschwung der zwei Geschwindigkeiten","Euro-Raum – Heterogene Wirtschaftsentwicklung","40","Europäische Union"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt"," ","46","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Produktionspotenzial und Output-Lücke","47","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Außenhandelsstruktur Deutschlands: Zunehmende Bedeutung der Schwellenländer","48","Außenhandel"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Arbeitsmarkt: Zusammenhang von Produktion und Beschäftigung","50","Arbeitsmarktpolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Finanzierungsbedingungen","52","Finanzmärkte und Finanzstabilität "
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Die Entwicklung im Prognosezeitraum","53","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Einkommensentwicklung und Konsumausgaben","56","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Ausrüstungsinvestitionen","56","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Bauinvestitionen","59","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Entstehungsseite","60","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Außenwirtschaft","60","Außenhandel"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Preisniveauentwicklung","61","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Arbeitsmarkt im Prognosezeitraum","61","Arbeitsmarktpolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Der starke Aufschwung verliert an Fahrt","Öffentliche Finanzen","63","Öffentliche Finanzen"
"DRITTES KAPITEL Euro-Raum in der Krise"," "," ","67","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise"," ","71","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Ungleichgewichte innerhalb des Euro-Raums ähnlich stark ausgeprägt wie auf der globalen Ebene","71","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Starke Unterschiede in den Finanzierungssalden des privaten Sektors","72","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Finanz- und Wirtschaftskrise bringt Fiskalpolitik in allen Währungsräumen in gravierende Schieflage","74","Öffentliche Finanzen"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Problemfall Griechenland","76","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Einheitliche Zinspolitik verstärkt realwirtschaftliche Divergenzen","77","Geld- und Währungspolitik"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Mitgliedschaft in der Währungsunion und Insolvenzrisiko für Staaten","79","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","„Original Sin“ als Normalfall in der Währungsunion","81","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Schutzschirme für die Problemländer","83","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Globale und spezifische Ursachen der Euro-Krise","Fehlentwicklungen bei der Wettbewerbsfähigkeit","86","Wettbewerbspolitik"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum"," ","89","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Status quo: Gemeinsame Währung bei vergleichsweise geringer politischer Integration","89","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Erste Säule: Stabilitätspakt mit mehr Biss","90","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Erste Säule: Stabilitätspakt mit mehr Biss","91","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Zweite Säule: Ein maßgeschneidertes Regelwerk für die Stabilität des privaten Finanzsystems","94","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Dritte Säule: Ein effektives Regelwerk für Krisen","96","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Ein Europäischer Krisenmechanismus (EKM)","96","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Eine andere Meinung","99","NA"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Ein neuer institutioneller Rahmen für den Euro-Raum","Überwachungsmechanismus für „übermäßige Ungleichgewichte“ nicht treffsicher","100","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte"," ","102","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Welche Rolle spielte Deutschland beim Aufbau der europäischen Ungleichgewichte?","104","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Erstens: Lohnentwicklung in Deutschland","104","Arbeitsmarktpolitik"
